"","HOST_INSTITUTION_CDE","MEDIAN_AGE","AVERAGE_GRANT_AMOUNT","AVERAGE_ECTS","STUDY_LENGTH","LANGUAGES_TAUGHT","SUBJECTS_TAUGHT","STUDENTS_ARRIVED","CONNECTED_UNIVERSITIES","cluster"
"1036","F  ORLEANS13",21,2247.786,20.56,6.67,3,4,25,11,1
"1037","F  ORSAY02",24,1324.95,30,5,1,1,1,1,1
"1038","F  PALAISE01",22,1744.66,43.6666666666667,7.52380952380952,2,12,21,11,1
"1039","F  PARIS001",22,1716.59262773723,32.705596107056,6.8029197080292,4,31,411,106,2
"1040","F  PARIS002",22,1747.26125714286,35.5314285714286,6.85142857142857,3,14,175,50,1
"1041","F  PARIS003",22,1675.30504983389,33.3455149501661,6.66362126245847,4,25,301,125,2
"1042","F  PARIS004",22,1773.09128158845,32.6245487364621,6.75992779783394,4,31,554,137,2
"1043","F  PARIS005",22,1647.7575088968,31.44128113879,6.58274021352313,4,34,281,99,2
"1044","F  PARIS006",23,1643.99054794521,30.0502283105023,6.50570776255708,2,29,219,92,2
"1045","F  PARIS007",22,1797.86042801556,31.3268482490272,6.93093385214008,3,28,257,94,2
"1046","F  PARIS008",22,1604.82820754717,34.8160377358491,6.64268867924528,2,28,212,68,2
"1047","F  PARIS009",22,1446.10736607143,34.9241071428571,5.95424107142857,3,20,224,65,2
"1048","F  PARIS010",22,1638.56821052632,34.05,6.74934210526316,2,37,380,124,2
"1049","F  Paris011",22,1319.84666666667,40,6.41666666666667,1,1,3,1,1
"1050","F  PARIS011",22,1870.23360465116,36.8604651162791,7.7281976744186,3,29,172,70,2
"1051","F  PARIS012",22,1731.744,32.9291666666667,6.31979166666667,3,34,240,93,2
"1052","F  PARIS013",22,1692.80588235294,31.6470588235294,5.82773109243697,2,27,119,68,2
"1053","F  PARIS014",21,1888.82889320388,34.2485436893204,6.10922330097087,3,25,515,115,2
"1054","F  PARIS026",21.5,1913.2525,34.25,5.84375,2,4,8,7,1
"1055","F  PARIS032",26,1655.5,23,3.5,1,1,1,1,1
"1056","F  PARIS035",23,1108.21,34.25,5.75,2,2,4,3,1
"1057","F  PARIS037",22,1354.236,30.6666666666667,4.25,2,4,15,8,1
"1058","F  PARIS047",22,1300,30,10,1,1,2,1,1
"1059","F  PARIS052",21,1513.07465517241,32.1896551724138,5.96551724137931,2,17,58,28,1
"1060","F  PARIS054",23,2074.09181818182,32.7727272727273,6.55681818181818,1,4,22,13,1
"1061","F  PARIS056",24,1764,30,4.5,1,2,2,1,1
"1062","F  PARIS057",24,1873.4,28.15,6.4,1,7,20,15,1
"1063","F  PARIS062",23,2207.1252688172,47.4301075268817,8.28494623655914,2,12,93,23,1
"1064","F  PARIS063",22,1405.744,43.6,6.7,2,3,5,4,1
"1065","F  PARIS064",21.5,2708.83333333333,55.3333333333333,9.04166666666667,2,3,6,3,1
"1066","F  PARIS066",25,1561.52666666667,40,6.5,2,2,3,3,1
"1067","F  PARIS068",23,1682.46342857143,44.6285714285714,8.34285714285714,2,6,35,15,1
"1068","F  PARIS077",23,1399.105,28.25,5.8125,1,6,8,8,1
"1069","F  PARIS080",23,1889,38.2,9.075,2,4,10,6,1
"1070","F  PARIS081",22,1503.27272727273,30.5454545454545,7.02272727272727,2,6,11,8,1
"1071","F  PARIS083",23,2010.82210526316,47.5789473684211,9.63157894736842,3,4,38,13,1
"1072","F  PARIS085",22,2249.40625,41.7083333333333,10.0677083333333,3,5,48,15,1
"1073","F  PARIS086",23,1628.26923076923,44.6153846153846,9.67307692307692,1,3,13,5,1
"1074","F  PARIS087",22.5,2011.85041666667,26.5833333333333,6.80208333333333,1,12,24,13,1
"1075","F  PARIS089",21.5,660,27.5,3,1,1,2,1,1
"1076","F  PARIS092",24,1998,57,10,1,1,1,1,1
"1077","F  PARIS100",23,1476.29948275862,32.3103448275862,4.69396551724138,2,9,58,20,1
"1078","F  PARIS104",22,1116.33086330935,30.4172661870504,4.41906474820144,2,17,139,46,1
"1079","F  PARIS105",21,1568.81,39.0782608695652,6.19782608695652,3,14,115,41,1
"1080","F  PARIS109",22.5,3283.75,45,8.875,1,2,2,1,1
"1081","F  PARIS110",22.5,1457,34.5,4.5,1,2,2,2,1
"1082","F  PARIS113",23,1215.27777777778,33.6666666666667,5.02777777777778,2,4,9,7,1
"1083","F  PARIS116",23,1620.358125,38.5,5.9375,2,5,16,13,1
"1084","F  Paris117",25.5,1800,24,6,1,1,2,1,1
"1085","F  PARIS117",22,1298.55029411765,37.1764705882353,6.83823529411765,2,10,34,17,1
"1086","F  PARIS119",23,2254.34194444444,45.8888888888889,8.28472222222222,2,3,36,24,1
"1087","F  PARIS121",23,2009.506,50.8666666666667,6.86666666666667,2,2,15,9,1
"1088","F  PARIS126",22.5,2135.97273809524,35.9880952380952,8.19940476190476,1,4,84,42,1
"1089","F  PARIS129",22,2118.04689655172,38,9.00862068965517,1,2,29,16,1
"1090","F  PARIS160",21.5,650,36,5,1,1,2,1,1
"1091","F  PARIS174",22,2353.46,30.5555555555556,6.52777777777778,2,2,9,8,1
"1092","F  PARIS178",22,2130.62235294118,32.8235294117647,6.96470588235294,2,8,85,41,1
"1093","F  PARIS190",22.5,2174.2075862069,43.2413793103448,8.24137931034483,1,3,58,27,1
"1094","F  PARIS213",21,1615.12746666667,36.66,5.91333333333333,2,14,150,48,1
"1095","F  PARIS215",24,1216.8475,22.5,4.8125,2,3,4,3,1
"1096","F  PARIS222",28,1001.66666666667,34,6.16666666666667,1,3,3,3,1
"1097","F  PARIS225",22,1439.604,34,6.74166666666667,2,24,60,29,1
"1098","F  PARIS226",22,933.388888888889,32.3333333333333,4.80555555555556,2,4,9,7,1
"1099","F  PARIS244",22,1336.08279503106,32.9503105590062,4.90062111801242,2,12,161,44,1
"1100","F  PARIS256",22,1334.234,29.6666666666667,4.80333333333333,3,11,75,30,1
"1101","F  PARIS258",22,767.848484848485,24.6969696969697,3.37878787878788,2,6,33,7,1
"1102","F  PARIS270",21,1342.99259259259,31.8518518518519,5.39814814814815,3,13,54,15,1
"1103","F  PARIS294",29,1350,18,4.5,1,1,1,1,1
"1104","F  PARIS317",26,2057.5,33.5,9,2,2,4,4,1
"1105","F  PARIS318",22,2060.10952380952,31.3333333333333,8.52380952380952,1,3,21,10,1
"1106","F  PARIS319",22,1865.59485714286,33.6285714285714,7.40714285714286,1,3,35,21,1
"1107","F  PARIS322",24,820.833333333333,36.4444444444444,4.86111111111111,1,2,9,2,1
"1108","F  PARIS323",23,1245.5,26.25,4.25,2,4,8,5,1
"1109","F  PARIS325",23,1453.15625,18.5,5.46875,2,3,8,7,1
"1110","F  PARIS326",22,1203.3425,33.25,4.16666666666667,2,4,12,6,1
"1111","F  PARIS329",20,1857.1875,27.625,4.03125,3,2,8,2,1
"1112","F  PARIS332",22,1104.42161290323,29.3548387096774,4.66935483870968,2,5,31,9,1
"1113","F  PARIS342",23,2107.85714285714,37.1428571428571,7.03571428571429,1,3,7,6,1
"1114","F  PARIS347",22,820,25.75,5,1,3,4,3,1
"1115","F  PARIS357",20.5,1081,43.8333333333333,5.66666666666667,1,1,6,5,1
"1116","F  PARIS360",24.5,1454,42,7,2,2,2,2,1
"1117","F  PARIS361",21,1638.69090909091,34.5454545454545,6.09090909090909,2,3,11,4,1
"1118","F  PARIS362",21,1246.02,25,4.66666666666667,1,2,3,1,1
"1119","F  PARIS363",22,825.36,28.2,3.92,2,4,25,6,1
"1120","F  PARIS365",21,1585.8075,33,5.625,1,2,4,4,1
"1121","F  PARIS369",24,2156.66666666667,11,10,1,2,3,2,1
"1122","F  PARIS375",23,880,30,4,1,1,3,1,1
"1123","F  PARIS376",22.5,1976.5,39.25,6.25,2,2,4,4,1
"1124","F  PARIS379",21,1140.08961538462,34.2307692307692,5.51282051282051,2,3,78,28,1
"1125","F  PARIS389",21,1217.03736842105,33.9210526315789,4.46052631578947,2,7,38,15,1
"1126","F  PARIS398",21,1378.74285714286,46.4285714285714,8.28571428571429,1,1,7,1,1
"1127","F  PARIS403",24,1235,30,5,2,2,2,2,1
"1128","F  PAU01",22,1509.52149606299,34.1653543307087,6.53740157480315,2,25,127,55,2
"1129","F  PAU12",22,1190.50875,28.125,5.65625,2,3,8,6,1
"1130","F  PAU22",38,650,27,5,1,1,1,1,1
"1131","F  PERPIGN01",21,1600.29352272727,32.7727272727273,6.00568181818182,2,20,88,34,1
"1132","F  PERPIGN12",23.5,471.25,16.5,3.625,1,1,2,1,1
"1133","F  PEZENAS01",29,390,42,3,1,1,1,1,1
"1134","F  POINT-P05",22,1700.59,25.7560975609756,6.03658536585366,1,12,41,17,1
"1135","F  POITIER01",22,1739.9093452381,29.952380952381,6.06101190476191,4,37,168,78,2
"1136","F  POITIER05",23.5,1338.90625,33.125,7.703125,1,2,16,7,1
"1137","F  POITIER06",21,1274.73,30,4,1,1,1,1,1
"1138","F  POITIER07",23,1848.2396,31.74,4.98,2,6,50,18,1
"1139","F  POITIER12",25,2412,40,4.5,1,1,1,1,1
"1140","F  POITIER29",23,2375,52,9.5,1,1,1,1,1
"1141","F  PONT-AB01",22,1045.75,21.5,5.875,1,1,4,1,1
"1142","F  REIMS01",22,1883.98645833333,34.7395833333333,6.7109375,2,27,96,45,2
"1143","F  REIMS06",22,1494.38570247934,38.1818181818182,6.38429752066116,2,13,121,31,1
"1144","F  REIMS09",21,455,40,3.5,1,1,1,1,1
"1145","F  REIMS23",21,1840.725,21.7,5.075,2,6,10,8,1
"1146","F  RENNES01",22,1841.88484375,40.28125,6.97786458333333,3,31,192,71,2
"1147","F  RENNES02",21,1401.40565217391,35.4347826086956,6.04830917874396,3,22,207,81,2
"1148","F  RENNES06",22,4680,60,9,1,1,1,1,1
"1149","F  RENNES09",22,1993,45,9,1,2,3,3,1
"1150","F  RENNES10",22,2025.85454545455,46.7727272727273,8.25,2,6,22,9,1
"1151","F  RENNES14",23,1150,24,5,1,1,1,1,1
"1152","F  RENNES15",21,1560,30,3.25,1,1,1,1,1
"1153","F  RENNES16",22,1796.53571428571,52.7857142857143,8.21428571428571,1,3,14,9,1
"1154","F  RENNES27",22,1385.31324137931,35.8344827586207,5.0448275862069,2,15,145,47,1
"1155","F  RENNES28",21,2244.52235294118,43.1372549019608,6.6421568627451,2,6,51,30,1
"1156","F  RENNES32",20,3520.58833333333,60.6666666666667,9.45833333333333,1,2,6,3,1
"1157","F  RENNES39",23,1435,40.6666666666667,6.33333333333333,2,1,3,3,1
"1158","F  RENNES43",20.5,1448.385,34.5,5.9375,2,2,4,4,1
"1159","F  RENNES45",23,675,0,3,1,1,1,1,1
"1160","F  RENNES47",22,1689.375,23.375,6.21875,1,3,8,5,1
"1161","F  RENNES49",25,1437.1,23.2,4.7,2,2,5,4,1
"1162","F  RETHEL01",20,1950,24,3,1,1,4,1,1
"1163","F  RODEZ09",23,1121.25,60,8.625,1,1,2,1,1
"1164","F  ROUBAIX03",22,2299.16363636364,29.0909090909091,4.52272727272727,2,4,11,6,1
"1165","F  ROUBAIX09",23,1223.406,40.2,5.85,1,4,10,8,1
"1166","F  ROUEN01",22,1958.42754601227,35.0306748466258,7.04601226993865,4,31,163,76,2
"1167","F  ROUEN06",24.5,1413.015,10,5.875,2,3,4,4,1
"1168","F  ROUEN07",21,2337.20857142857,34.8571428571429,6.32142857142857,2,4,7,5,1
"1169","F  ROUEN09",22,1336.77804347826,35.7826086956522,5.625,2,8,92,41,1
"1170","F  ROUEN19",23,1681.82692307692,44.1923076923077,8.50961538461539,1,2,26,12,1
"1171","F  ROUEN33",21,1380,0,6,1,1,1,1,1
"1172","F  SAINT-D01",25.5,2114.5,29,5.5,1,2,2,2,1
"1173","F  SCEAUX01",23,1335.5,38.1052631578947,6.71052631578947,2,7,19,9,1
"1174","F  SOPHIA01",22,1319.2898245614,29.859649122807,4.26754385964912,2,10,57,17,1
"1175","F  ST-DENI01",22,1483.74539325843,32.3483146067416,5.58988764044944,2,24,89,38,1
"1176","F  ST-ETIE01",22,1741.770125,34.2375,6.65625,2,24,80,36,1
"1177","F  ST-ETIE05",23,1256.66666666667,57.6666666666667,9.66666666666667,1,2,3,2,1
"1178","F  ST-ETIE06",24,2175.6,49.8,8.3,2,4,5,4,1
"1179","F  ST-ETIE08",23,1907.73636363636,51.8181818181818,8.34090909090909,1,3,11,7,1
"1180","F  ST-ETIE16",21,1695.61210526316,32.8947368421053,5.23684210526316,2,5,19,13,1
"1181","F  ST-ETIE17",20.5,841.505,27.5,3.66666666666667,2,5,6,4,1
"1182","F  ST-ETIE18",22,1454.32818181818,36.5454545454545,5.375,3,4,22,16,1
"1183","F  ST-ETIE24",22,1235,60,9.5,1,1,2,1,1
"1184","F  ST-OUEN02",23,1794,27,7.8,1,1,5,3,1
"1185","F  STRASBO07",22,1300,70,10,1,1,1,1,1
"1186","F  STRASBO12",24,2145,37.6666666666667,8.5,2,2,3,3,1
"1187","F  STRASBO16",22,1550.256,43.16,7.85,1,2,25,13,1
"1188","F  STRASBO30",22,1833.62,22.5,6.25,1,2,2,2,1
"1189","F  STRASBO31",24,2281.31117647059,34.8235294117647,6.51470588235294,2,8,17,12,1
"1190","F  STRASBO48",22,1839.91310395315,36.6295754026354,6.73901903367496,2,52,683,217,2
"1191","F  STRASBO51",23,1605.23933333333,37.4,6.08333333333333,2,7,15,14,1
"1192","F  TAHITI01",23,3117.5,60,7.75,1,1,2,1,1
"1193","F  TALENCE06",23,1500,0,5,1,1,1,1,1
"1194","F  TARBES03",22,1304.204,34.65,5.5625,2,5,20,10,1
"1195","F  TOULON01",21,1646.87615384615,30.4102564102564,6.19230769230769,2,13,39,18,1
"1196","F  TOULON03",20,3700,60,10,1,1,1,1,1
"1197","F  TOULON18",22,1100,29,5,1,1,1,1,1
"1198","F  TOULON19",21,979.016666666667,30,3.66666666666667,1,1,3,1,1
"1199","F  TOULOUS01",21,1832.45222797927,36.0673575129534,7.01943005181347,3,19,193,70,2
"1200","F  TOULOUS02",22,1710.03185714286,37.1678571428571,6.45625,2,32,280,103,2
"1201","F  TOULOUs03",20,3640.88,55.3333333333333,10,1,1,3,1,1
"1202","F  TOULOUS03",23,1552.74033112583,34.9933774834437,6.83443708609272,3,35,151,68,2
"1203","F  TOULOUS08",23.5,880,30,4,2,1,2,1,1
"1204","F  TOULOUS09",22.5,1470.24,22.5,4.3125,1,2,4,3,1
"1205","F  TOULOUS116",23,780,30,6,1,1,1,1,1
"1206","F  TOULOUS122",23,2385.71,40,8.5,1,1,1,1,1
"1207","F  TOULOUS14",23,1563.71844827586,36.448275862069,7.59051724137931,2,17,58,29,1
"1208","F  TOULOUS16",22,2403.21229166667,45.8541666666667,10.2760416666667,2,5,48,21,1
"1209","F  TOULOUS17",22,1805.88235294118,46.4705882352941,9.76470588235294,1,2,17,6,1
"1210","F  TOULOUS18",23,1528.86210526316,32.7894736842105,6.82894736842105,2,5,19,11,1
"1211","F  TOULOUS19",22,1526.67,21.3333333333333,4.66666666666667,1,2,3,2,1
"1212","F  TOULOUS22",23,1490.18823529412,48.5882352941176,8.35294117647059,1,2,17,10,1
"1213","F  TOULOUS23",21,1478.18976744186,31.5658914728682,4.82751937984496,3,9,129,49,1
"1214","F  TOULOUS24",22,1811.766,46.5,9,1,3,20,11,1
"1215","F  TOULOUS28",22,1547.23666666667,33.04,6.99,2,19,75,39,1
"1216","F  TOULOUS32",25,1200,30,6,1,1,1,1,1
"1217","F  TOULOUS41",21,1282.065,27.625,5.25,1,6,8,6,1
"1218","F  Toulous48",22,938,29,4,1,1,1,1,1
"1219","F  TOULOUS48",22,2248.51129032258,41.0645161290323,7.41129032258065,2,6,62,27,1
"1220","F  TOULOUS50",23,1202.5,52.5,9.25,1,2,6,2,1
"1221","F  TOURCOI11",28,2350,30,5,1,1,1,1,1
"1222","F  TOURS01",21,1717.84357723577,36.4308943089431,6.51829268292683,3,29,246,93,2
"1223","F  TROYES07",22,1488.399,38.96,6.55,2,16,100,48,1
"1224","F  TROYES08",24,2674.41842105263,37.0526315789474,7.17105263157895,2,9,19,13,1
"1225","F  VALENCE14",20,1068.02,36,4,1,1,1,1,1
"1226","F  VALENCI01",22,1883.13909090909,34.8636363636364,6.61931818181818,2,16,44,19,1
"1227","F  VALENCI14",21.5,1150,30,5,1,1,2,1,1
"1228","F  VALENCI15",20,0,30,4.75,1,1,1,1,1
"1229","F  VANNES04",21,1632.23916666667,31.5555555555556,5.43055555555556,2,11,36,16,1
"1230","F  VAULX-V02",24,1932,29.8,9,1,2,5,5,1
"1231","F  VERSAIL03",23,1555.122,31.8,6.7,2,2,10,7,1
"1232","F  VERSAIL05",23,1913.63157894737,39.1578947368421,8.56578947368421,1,3,19,12,1
"1233","F  VERSAIL11",21,1812.93896103896,33.3116883116883,5.99025974025974,2,19,77,35,1
"1234","F  XX",21,2228.11382352941,37.3970588235294,6.45220588235294,4,36,272,70,2
"1235","G  ARTA01",22,1345.05263157895,33.0526315789474,5.23684210526316,1,4,19,4,1
"1236","G  ATHINE01",22,1590.92411042945,32.5521472392638,6.43558282208589,5,29,163,92,2
"1237","G  ATHINE02",23,1312.44918918919,34.4054054054054,6.56081081081081,2,7,37,19,1
"1238","G  ATHINE03",23,1821.23076923077,27.3076923076923,5.30769230769231,2,6,13,8,1
"1239","G  ATHINE04",22,1302.59884615385,32.0384615384615,4.92884615384615,3,17,130,69,1
"1240","G  ATHINE06",24,1249.55315789474,23.7894736842105,5.10526315789474,3,5,38,15,1
"1241","G  ATHINE34",22,1191.34302325581,32.8372093023256,4.58139534883721,2,12,43,20,1
"1242","G  ATHINE41",22.5,1099.55285714286,27.7142857142857,5.24107142857143,2,13,28,13,1
"1243","G  ATHINE42",22,1472.17363636364,37.3636363636364,6.13636363636364,3,5,11,8,1
"1244","G  ATHINE53",21,1820,64,8,1,1,3,1,1
"1245","G  CHANIA01",22,945.25,28.8,4.2,1,2,5,2,1
"1246","G  EGALEO01",23,1290.1848,39.44,6.55,2,11,25,12,1
"1247","G  IOANNIN01",23,2010.734375,37.4375,7.5625,2,7,16,11,1
"1248","G  KALAMAT01",21,1629.84375,27.0625,4.4375,1,8,16,6,1
"1249","G  KALLITH01",23,2158.91666666667,29,5.16666666666667,1,3,3,3,1
"1250","G  KALLITH02",22,1872.70277777778,41.7037037037037,6.5787037037037,3,11,54,30,1
"1251","G  KAVALA01",20.5,1055.37857142857,34.5,4.53571428571429,2,4,14,8,1
"1252","G  KOMOTIN01",23,1586.80555555556,35.0555555555556,6.13888888888889,2,10,18,14,1
"1253","G  KOZANI01",22,1100,30,5,1,1,1,1,1
"1254","G  KOZANI02",20.5,2144,30,4,1,1,2,1,1
"1255","G  KRITIS01",22,1548.84234567901,32.6172839506173,5.62654320987654,2,18,81,46,1
"1256","G  KRITIS04",22.5,1221.211,24.58,4.63,2,14,50,17,1
"1257","G  KRITSI09",23,1525.64705882353,31.1764705882353,5.72058823529412,2,10,17,11,1
"1258","G  LAMIA02",21,1600,33.3333333333333,5.5,1,2,3,2,1
"1259","G  LARISSA02",22,1640.36,35.8181818181818,4.09090909090909,1,5,11,6,1
"1260","G  MESOLO01",22,2443.75,27,5.75,1,1,2,1,1
"1261","G  PATRA01",23,1650.82224137931,30.7241379310345,5.53448275862069,2,23,58,28,1
"1262","G  PATRA04",22,1176.13111111111,26.2222222222222,5.22222222222222,2,6,9,5,1
"1263","G  PIREAS01",22,1745.96458333333,33.4166666666667,6.05208333333333,2,9,24,13,1
"1264","G  SERRES01",22,1187.5,17,3.75,1,2,6,1,1
"1265","G  Thessal01",21,1100,25,5,1,1,1,1,1
"1266","G  THESSAL01",22,1605.60606741573,32.2247191011236,5.94943820224719,5,53,267,139,2
"1267","G  THESSAL02",21,1546.40333333333,35.7333333333333,6.25833333333333,1,12,30,16,1
"1268","G  THESSAL12",22,1691.71675,34.075,5.98125,2,19,40,26,1
"1269","G  THESSAL14",20,2400,23,4,1,1,2,1,1
"1270","G  TRIPOLI03",21,1731.84375,39.5,6.28125,1,4,8,4,1
"1271","G  VOLOS01",23,1473.39516129032,36.4838709677419,6.12903225806452,4,13,31,18,1
"1272","G  XX",22,1615,36,4.75,1,1,1,1,1
"1273","G  ZAKYNTH01",20,1072.5,22,4.25,1,4,5,2,1
"1274","HR DUBROVN01",22,2121.8714,41.08,5.21,2,7,25,10,1
"1275","HR OSIJEK01",23,1740.33333333333,38.8333333333333,5.6,2,10,30,13,1
"1276","HR PULA01",22.5,1360.625,28.875,5.5625,2,4,8,5,1
"1277","HR RIJEKA01",22,1892.34534883721,34.4651162790698,6.15697674418605,2,13,43,20,1
"1278","HR SPLIT01",22,1725.58558139535,32.1860465116279,5.86627906976744,2,17,43,19,1
"1279","HR ZADAR01",21,1502.92,31.8571428571429,5.79761904761905,3,11,21,14,1
"1280","HR ZAGREB01",22,1377.64920318725,29.8406374501992,5.699203187251,5,48,251,100,2
"1281","HR ZAGREB05",23,1214.41666666667,26,4.66666666666667,2,2,3,2,1
"1282","HR ZAGREB06",21,985.255853658537,34.4146341463415,5.25609756097561,1,6,41,20,1
"1283","HR ZAGREB07",21,1112.5,36,5.3,1,3,5,2,1
"1284","HR ZAGREB10",22,1218,30.8,4.6,1,2,5,2,1
"1285","HU BAJA01",21,1534.10714285714,32,4.32142857142857,2,2,7,3,1
"1286","HU BUDAPE54",23,1494.7375,31,3.8125,1,2,8,2,1
"1287","HU BUDAPES01",22,1536.39698030635,31.4967177242888,5.92997811816193,9,48,457,166,2
"1288","HU BUDAPES02",22,1294.99495890411,31.5698630136986,5.92534246575342,2,37,365,140,2
"1289","HU BUDAPES03",22,1203.19052884615,29.9639423076923,5.07211538461539,4,35,416,148,2
"1290","HU BUDAPES08",22,1526.53495934959,35.479674796748,6.09552845528455,3,11,123,54,1
"1291","HU BUDAPES09",22,1625,26.5,5.75,2,1,4,2,1
"1292","HU BUDAPES10",22,1485.98409090909,27.1818181818182,5.79545454545455,2,8,22,11,1
"1293","HU BUDAPES12",22,1406.41659090909,35.9469696969697,5.91098484848485,3,13,132,48,1
"1294","HU BUDAPES16",23,1186.385625,29.1666666666667,5.04947916666667,2,22,96,34,1
"1295","HU BUDAPES20",22,1198.517375,35.3541666666667,5.79583333333333,2,26,240,81,2
"1296","HU BUDAPES25",23,1745.72,25.0384615384615,6.58653846153846,3,4,26,17,1
"1297","HU BUDAPES26",21,1395.385625,35.1875,5.296875,2,4,16,12,1
"1298","HU BUDAPES27",22,1053.26104477612,29.2089552238806,4.40298507462687,2,9,67,40,1
"1299","HU BUDAPES28",22,1218.97619047619,32.3333333333333,4.22023809523809,2,10,42,16,1
"1300","HU BUDAPES29",22,996.24,30,4,1,1,2,1,1
"1301","HU BUDAPES37",21.5,634.5,11.5,6.75,2,3,4,3,1
"1302","HU BUDAPES41",22,1157.67120879121,33.1648351648352,5.24450549450549,4,18,91,47,1
"1303","HU BUDAPES44",21,1275.80769230769,35,5.18269230769231,2,10,26,11,1
"1304","HU BUDAPES45",21.5,1297.98315789474,33.1315789473684,4.92105263157895,4,13,76,21,1
"1305","HU BUDAPES46",24,1206.545,26.7,5.875,2,7,20,9,1
"1306","HU BUDAPES47",24,1290.61081081081,29.7297297297297,5.58108108108108,2,11,37,28,1
"1307","HU BUDAPES49",22,2408.25,31.5,4.75,2,1,2,1,1
"1308","HU BUDAPES50",21,1600,35.6,4,1,1,5,1,1
"1309","HU DEBRECE01",22,1597.86955696203,35.4556962025316,5.8370253164557,4,39,158,64,2
"1310","HU DEBRECE04",48,2529.5,40,5.75,2,2,2,2,1
"1311","HU DUNAUJ01",21,1348.87058823529,36.4117647058824,5.32352941176471,2,5,17,5,1
"1312","HU EGER01",22,1855.80622222222,35.1777777777778,5.65,2,18,45,15,1
"1313","HU GODOLLO01",22,1572.31769784173,34.1294964028777,5.74640287769784,3,27,139,54,2
"1314","HU GYONGY01",23,2532.39285714286,58.7142857142857,7.03571428571429,1,2,7,2,1
"1315","HU GYOR01",23,1446.03658536585,31.219512195122,6.59146341463415,2,18,41,16,1
"1316","HU KAPOSVA01",21,1211.25,28.4074074074074,4.19444444444444,2,9,27,8,1
"1317","HU KECSKEM02",22.5,1192.26541666667,37.875,5.125,2,5,24,7,1
"1318","HU MISKOLC01",22,1201.26080645161,30.9516129032258,4.7741935483871,3,19,62,30,1
"1319","HU NYIREGY04",20,1309.61904761905,30.3333333333333,4.09523809523809,2,7,21,4,1
"1320","HU PECS01",22,1466.54927536232,36.0144927536232,5.94685990338164,4,42,207,92,2
"1321","HU SOPRON01",21,1719.09130434783,34.8695652173913,5.30978260869565,2,18,46,21,1
"1322","HU SZEGED01",22,1672.69545918367,35.3826530612245,6.05612244897959,3,41,196,89,2
"1323","HU SZEGED04",23,1800,20,4.5,1,1,1,1,1
"1324","HU SZFVAR01",22,1343.43056910569,32.7886178861789,4.39227642276423,2,20,123,31,1
"1325","HU SZOLNOK01",22,1184.68181818182,35.8181818181818,4.93181818181818,1,3,11,6,1
"1326","HU TATABAN01",21.5,2061.21428571429,31.6428571428571,6.64285714285714,1,4,14,5,1
"1327","HU VESZPRE01",22.5,1681.73214285714,33.5952380952381,5.48809523809524,2,16,42,22,1
"1328","HU XX",20,1322.28125,30.5,3.28125,1,1,8,2,1
"1329","I  ADRIA01",24,3114.08,48.6666666666667,6.33333333333333,2,1,3,2,1
"1330","I  ANCONA01",23,1433.46391304348,38.445652173913,6.65217391304348,2,27,92,41,2
"1331","I  AOSTA02",21,782.857142857143,35.1428571428571,5.75,3,5,7,4,1
"1332","I  BARI01",22,1855.31718253968,43.5476190476191,6.65873015873016,4,41,252,92,2
"1333","I  BARI02",21,1872.41666666667,34.8333333333333,3.91666666666667,2,4,6,4,1
"1334","I  BARI03",24,1300,10,10,1,1,1,1,1
"1335","I  BARI05",22,1815.95681818182,45,7.78409090909091,2,14,66,28,1
"1336","I  BENEVEN02",22,1884.86904761905,37.7380952380952,6.47619047619048,2,14,42,19,1
"1337","I  BERGAMO01",21,1404.84704081633,34.0408163265306,6.13010204081633,3,21,98,48,1
"1338","I  BOLOGNA01",22,1584.62491469816,37.6207349081365,7.07627952755906,4,92,1524,343,2
"1339","I  BOLOGNA03",22,1783.56384615385,41.7435897435897,6.6025641025641,3,7,39,22,1
"1340","I  BOLOGNA04",22,1877.09666666667,40.8888888888889,7.80555555555556,2,2,9,7,1
"1341","I  BOLZANO01",22,1671.09814285714,32.0285714285714,6.02142857142857,3,15,70,34,1
"1342","I  BOLZANO02",23,1800,28,5,1,1,1,1,1
"1343","I  BRESCIA01",22,1740.86848484848,38.5757575757576,6.96590909090909,2,16,66,32,1
"1344","I  BRESCIA04",20,1081.07142857143,41.5714285714286,6.82142857142857,1,3,7,5,1
"1345","I  BRESCIA05",22,1322.04545454545,39.6363636363636,6.43181818181818,2,3,11,5,1
"1346","I  CAGLIAR01",23,1774.99936440678,39.8898305084746,7.08156779661017,2,48,236,97,2
"1347","I  CAGLIAR02",22,1313,30,3.5,1,1,1,1,1
"1348","I  CALTANI01",25.5,2750,16.5,5,1,2,2,1,1
"1349","I  CAMERIN01",22,1924.65369230769,49.0923076923077,7.56923076923077,2,15,65,22,1
"1350","I  CAMPOBA01",22,1226.78590909091,44.5681818181818,7.20454545454545,2,19,44,22,1
"1351","I  CAMPOBA03",21.5,4412.25,60,9.25,1,1,2,1,1
"1352","I  CARRARA01",22,1785.65277777778,48.7777777777778,6.20833333333333,2,4,18,12,1
"1353","I  CASAMAS01",20,2500,30,5,1,1,1,1,1
"1354","I  CASSINO01",22,1593.7808,43.92,7.04,2,18,50,27,1
"1355","I  CASTELL01",22,1318.53427184466,31.1941747572816,4.85436893203883,3,17,103,42,1
"1356","I  CATANIA01",22,1593.22229166667,37.6458333333333,6.92317708333333,2,39,192,71,2
